"Date","City","State","Venue"
"1 June 1975","Baton Rouge","Louisiana"," LSU Assembly Center"
"3 June 1975","San Antonio","Texas","Convention Center"
"4 June 1975","San Antonio","Texas","Convention Center"
"6 June 1975","Kansas City"," Missouri","Arrowhead Stadium"
"8 June 1975","Milwaukee","Wisconsin","County Stadium"
"9 June 1975","Saint Paul","Minnesota","Civic Center"
"11 June 1975","Boston","Massachusetts","Boston Garden"
"14 June 1975","Cleveland","Ohio","Municipal Stadium"
"15 June 1975","Buffalo","New York","Memorial Auditorium"
"17 June 1975","Toronto","Ontario","Maple Leaf Gardens"
"22 June 1975","New York City","New York","Madison Square Garden"
"23 June 1975","New York City","New York","Madison Square Garden"
"24 June 1975","New York City","New York","Madison Square Garden"
"25 June 1975","New York City","New York","Madison Square Garden"
"26 June 1975","New York City","New York","Madison Square Garden"
"27 June 1975","New York City","New York","Madison Square Garden"
"29 June 1975","Philadelphia","Pennsylvania","The Spectrum"
"1 July 1975","Largo","Maryland","Capital Center"
"2 July 1975","Largo","Maryland","Capital Center"
"4 July 1975","Memphis","Tennessee","Memorial Stadium"
"6 July 1975","Dallas","Texas","Cotton Bowl"
"9 July 1975","Los Angeles","California","Los Angeles Forum"
"10 July 1975","Los Angeles","California","Los Angeles Forum"
"11 July 1975","Los Angeles","California","Los Angeles Forum"
"12 July 1975","Los Angeles","California","Los Angeles Forum"
"13 July 1975","Los Angeles","California","Los Angeles Forum"
"15 July 1975","San Francisco","California","Cow Palace"
"16 July 1975","San Francisco","California","Cow Palace"
"18 July 1975","Seattle","Washington","Seattle Center Coliseum"
"19 July 1975","Fort Collins","Colorado","Hughes Stadium"
"22 July 1975","Chicago","Illinois","Chicago Stadium"
"23 July 1975","Chicago","Illinois","Chicago Stadium"
"24 July 1975","Chicago","Illinois","Chicago Stadium"
"26 July 1975","Bloomington","Indiana","Assembly Hall"
"27 July 1975","Detroit","Michigan","Cobo Hall"
"28 July 1975","Detroit","Michigan","Cobo Hall"
"30 July 1975","Atlanta","Georgia","The Omni Coliseum"
"31 July 1975","Greensboro","North Carolina","Greensboro Coliseum"
"2 August 1975","Jacksonville","Florida","Gator Bowl"
"4 August 1975","Louisville","Kentucky","Freedom Hall"
"6 August 1975","Hampton","Virginia","Hampton Coliseum"
"8 August 1975","Buffalo","New York","Rich Stadium"
